content,Tampilan,Autentikasi,Transaksi
Saat mau di gunakan malah ga bisa alhasil kena denda gara gara telat bayar,,,Negative
"Sampai kapan gangguan woi mau pakai ini, terus untuk update pembayaran PBB daerah tidak selengkap dulu",,,Negative
"Tiba tiba apk gak bisa di buka,tanpa ada pemberitahuan sebelumnya jika akan ada perbaikan..harus nya ada pemberitahuan.melalui sms.atau email ..",,Negative,
"Jelek ... Saya mau melakukan transaksi penting juga terkendala gara gara perbaiki"" ga jelas di aplikasi ini ...",,,Negative
"Lebih bagus mobile banking sebelumnya, MW trf gak bisa2 masuk ke aplikasinya padahal signal sangat bagus",,,Negative
Moban perbaikan nya. Aplikasi tidak bisa di gunakan. Perlu transaksi ni bos,,,Negative
"terlalu sering gangguan, aplikasi tidak bisa dibuka. mutasi rekening tidak sedetail BNI Mbanking. semoga segera teratasi segala masalahnya.",,,Negative
"Lebih simpel sich , cuma engga bisa move on dr app bni yg lama , terkadang app nya gampang ngambek, sinya l lancar paket data aman tapi kaga bisa ke buka app nya",Positive,,
Kenpa tidak bisa masuk ke login dan eror trus parah,,Negative,
SANGAT SANGAT BURUK MASUK BRU PAKE D KSIH PENGALAMAN BURUK SKLI BRU MW LOGIN D AKUN SLALU SAJA ADA KENDALA TRUS2 JD WAS WAS SAMA TABUNGAN,,Negative,
"ahh gila ini wondr, mending apk yang sebelum nya !!! masa perbaikan system sampe setengah hari. gw mau ada transaksi gimana ini woy !!!",,,Negative
"Fitur kurang lengkap gabisa nabung atau ambil tunai dari app mending BNI mobile, maintenance di siang hari hanya cara login atau daftarnya saja yang gampang.",,Negative,Negative
"Sebenernya sudah bagùs, cuma ditambahkan lagi transaksi tanpa kartunya di wondr ini",,,Positive
BNI coba dicek lagi fiturnya ini kalo semisal kartunya keblokir trus orang yang punya ATM sakit gak bisa verifikasi wajah sama sidik jari gimana ambil uang nya susah bgt deh apk nya rumit mau ambil tabungan sendiri aja ribet apknya tiap² fiturnya memperbaiki trus tapi gak bisa² apaann tolong lah BNI ini dicek lagi kalo mau buat apk jangan nyusahin orang yang buta digital,,Negative,Negative
"pas butuh mau transaksi malah gak bisa di buka, fitur tidak tersedia.",,,Negative
Tidak bisa tarik tunai...... Kadang error huuft gangguan semoga lekas di Optimalkan saja yaaaa agar lebih membantu,,,Negative
Aplikasi sering tidak bisa login... gampang error.,,Negative,
Ini kenapa si ga bisa masuk ke menu tampilan nya?,Negative,,
Hallo pihak wonder ny BNI. Kenapa aplikasi nya selalu lemot? Tiba2 bisa tibaa2 tidak bisa diakses... Tlong dong penjelasan nya ini bgmn? Kita pakai transaksi tiap hari tiap jam. Klo tiba2 tidak bisa diakses gimna dong? Merugikan di kami... Tlong perbaiki servernya yaa... Penggunaa wonder/BNI bnyk loh pdahal kenpa servernya murahan??,,,Negative
brp minimal saldo dalam akun wonder?,,Negative,Negative
Kalau blm siap benar ini aplikasi kenapa sdh di luncurkan ke masyarakat sih ?? Setiap mau login ada aja kendala .. gangguan lah ga tersedia lah sdh upate lah banyak banget masalah nya,,Negative,
Login nya susah banget. Padahal sudah update,,Negative,
"aplikasi asu , kendala terus tim kami sedang perbaiki tapi gak pernah diperbaiki, ada menu daftar KTP lewat IKD tapi gagal terus "" IKD anda tidak bisa diakses"" kan tolol padahal IKD mudah2 aja diakses emang apk tolol ASU tanpa lo suruh juga udah tak lakukan semua saran lo asw admin aplikasi tolol",,Negative,
"Bintang entar di tambahin dah, dari pagi gangguan mulu gak kelar kelar Padahal nasabah juga butuh transaksi",,,Negative
parah sih. lagi transaksi QR malah gangguan bangke malu,,,Negative
error nya jangan lama² ini mau tf uang jadi susah,,,Negative
"Saya pikir makin tambah gampang dengan wondr, mau transaksi malah perbaikan sistem",,,Negative
"Sudah UPGRADE... Tapi Saat Login ""Fitur tidak tersedia"" Coba lagiii ... ANEH, berulang2 coba lagi msh tetap saja. Aplikasinya belum trsupport sistem yg bagus, lbh byk kendalanya saat login.... Mohon segera diperbaiki agar memudahkn customer BNI. THX",,Negative,
"sering gangguan nggak seperti apk bank lain, saat saya lagi bendesak ingin transfer malah apk tidak bisa dibuka",,,Negative
sering gangguan. apalagi ga bisa bikin cc. transaksi luar negeri ga bisa. fiturnya terbatas. developernya makan gaji buta.,,,Negative
"Apkikasi sampah Eror ko lama Bukan membuat nasabah menjadi lwbih mudah. Malah buat nasabah jadi sulit saat inngin transaksi. Eror Kami sedang memulihkan Apalah.. Haduh... BCA, DAN BRI tetap yg terbaik",,,Negative
"Tolong dong diberikan fitur tarik tunai tanpa kartu, supaya kedepannya para nasabah jadi menikmati fitur yang terbaru ini dan semoga terealisasikan",,,Positive
Perbaikan siang di hari senin jadi susah transaksi,,,Negative
"ini aplikasi kenapa yah, kok saya mau transfer uang gak bisa, selalu ada aja kendalanya. Sampe udah di-update pun tetap gak bisa dibuka",,,Negative
"Pas di update gk bisa kebuka, padahal mau di pake transaksi... BNI dulunya bagus skrg banyak gangguan.",,,Negative
"Kenapa saat login aplikasih suka error padahal sudah sya update , ada solusikah terimakasih 🙏",,Negative,
Simpel dan mantaul.,Positive,,
Sudah bikin akun dan bisa login. Tapi setelah beberapa saat gak bisa login lagi. Notifnya sedang ada peningkatan sistem. Masa siang-siang peningkatan sistem dan tidak ada info? Sangat tidak nyaman,,Negative,
"Awalnya dikira lebih baik dari Bni mobile banking,tapi lebih parah sangat2 mengecewakan,setiap mau login selalu ada kata2 SISTEM KAMI DALAM PERBAIKAN,KAMI LAGI OPTIMALIN SISTEM INI,COBA LAGI NANTI YA!!,,, Tolong agar dipermudah kalu tidak di kembalikan lagi ke fitur Bni mobile banking lagi teransaksi lebih mudah tanpa ada gangguan kayak wondr saat ini... Saya sebagai pelanggan lama nasabah di BNI tolong lah..",,Negative,
Pengen jdi bank besar tp mau top up tapcash aja bermasalah terus Lagu nya bkin tapcash tp top diminimarket aja terbatas bank syulit si ini mah Tgl 25nov 2024 error di siang hari Mau bayar² dan top up tapcash jd susah Makin kliatan gk bs profesional,,,Negative
"Sering lambat sekali saat buka apk, mau transaksi qris jadinya lama, malah sering gangguan, lbh oke aplikasi internet banking yg dulu, yg skrang sdh lambat, ribet pula dalam mutasi rekening, tarik mobile tunai jg tdk bisa. Klo msh dalam tahap pengembangan jgn buru2 dganti ke wondr dr apk ibanking yg dulu. Yg dulu lbh cepat, lebih mudah dipahami",,,Negative
Suka maintenance tak can sekali ganggu aktivitas transaksi,,,Positive
Terlalu sering upgrade menggaggu kenyamanan saat mau bertransaksi mending embanking BNI Yang lama,,,Negative
"perbaikannya lama ,orang mau tranfer jadi ribet",,,Negative
"Baru update,malah notifnya optimalisasi sistem,jd gak bisa login.",,Negative,
"Perbaikan sistem terus dari jam berapa lama banget, mau cek saldo nggak bisa nyesal pakai wondr.",,,Negative
New Update malah susah log in,,Negative,
Wonder sedikit2 selalu ada kendala trus. Menghambat transaksi penggunaan wonder. Tdk membantu sama sekali,,,Negative
Update terus hasil ga ada transaksi susah,,,Negative
"Coba tolong kalo maintenance tidak di jam sibuk orang pergunakan untuk transaksi online, atm manual jadi rame. 25Nov2024 dari jam 10-11.35WIB belum dapat digunakan",,,Negative
"BNI yang lama susah akses, ini juga sama kendala terus, sedangkan kita perlu untuk transaksi tolong donk segera diperbaiki",,,Negative
kok perbaikan si.. gimana ini gabisa diproses cepat kah? .. orang lagi butuh ini.. ganti² terus dari BNI lama trus ke wondr .. perbaikan terus.. bayar wifi gabisa gagal mulu.. haduhhh BAD BANGET DEH,,,Negative
Lagi mendesak uang gk bsa login,,Negative,Negative
Lemot n sering maintenance.. lagi nungguin transfer gaji dari kantor malah maintenance.. padahal lg ada keperluan mendesak.. mestinya jangan buru2 maksain launching aplikasi ini kalo masi blom sempurna.. pake banking yg lama jg lg nge-bug kyknya uda ga bs dipake gara2 ad wondr.. dilema n mengecewakan,,,Negative
Kenapa saya tidak bisa login.melihat gajih saya tolong di klarifikasi,,Negative,
Mau daftar susah banget. Habis masukin no hp selalu crash dan sistem akan diperbaikigitu terus. Aplikasinya ga bagus ihhh,,Negative,
"Aplikasinya ribet,sering eror, masih mending BNI mobile, hanya bagus di fitur""nya saja,harusnya mempermudah transaksinya, sejauh ini belum ada kepuasan pakai aplikasi baru ini",,,Negative
Wondr sering sekali gangguan tidak bisa log in ke aplikasi. Sangat merepotkan dan tidak optimal,,Negative,
"Kok malah parah banget, udah bener pake Mbanking BNI yang lama.. ini error mulu mana mau Transaksi jadi makin ribet.",,,Negative
Lebih bagus aplikasi yg lama Wonder BNI malah sering gangguan Menu juga kurang lengkap Data transaksi rekening koran juga gaada,,,Negative
"Udah minta di update terus,giliran udah di update gak bisa di buka,mau transaksi jadi gak bisa,ngerepotin aja aplikasi wonder,,enak yg dulu bni mobile",,,Negative
Mau transaksi sering tertunda ..habis update malah sering perbaikan..bagus yang lama,,,Negative
"Dikit dikit update dikit dikit perbaikan, susah jadinya mau bayar bagus BNI yang lama",,,Negative
"gimana sih aplikasi sepenting ini malah maintenance di jam"" produktif, masa mau transaksi harus nunggu dulu, kan repot",,,Negative
Aku mau TF ini ayoo cepet buka 😭😭😭 GK bisa kebuka terus,,,Negative
"Nyesel make aplikasi yang baru, Malah banyak kendalanya. setiap mau tf selalu gangguan",,,Negative
"Jujur sebenernya suka karena lebih simpel, cuman plis lah kl ada pembaruan atau apapun itu plis jangan dijam2 kerja karena kl mau transaksi suka tiba2 ngga bisa seperti hari ini.",Positive,,Negative
"Kebanyakan Update,pada saat akan digunakan transaksi pasti ada aja gangguan padahal paket data dan lain lain aman lebih wort it Bni mobile banking menurutku",,,Negative
Masih bagus aplikasi BNI Yang lama.... Ni dalam keadaan darurat mau transfer aplikasinya gak bisa di gunakan.... Ni di buka aja ada aja masalahnya di server.... aplikasinya belum update di server nya....,,,Negative
"banyak errornya, gak ada fitur tarik tunai, gak jelas",,,Negative
Kenapa setelah di update wondr saya gak bisa login,,Negative,
"Kenapa tidak bisa login fitur lagi tidak tersedia sebelumnya aman"" aja",,Negative,
"aplikasi sudah cukup bagus, namun banyak kekurangan mulai dari sistem yg lambat kemudian masalah pada login hingga fitur2 yg sulit di jangkau... mohon diperbaiki segera, atau biarkan kami menggunakan BNI mobile yg dulu",,Negative,
Aplikasi tidak berbobot yg kemarin gk enak ini makin gk enak lagi. Skrg mau login pun tidak bisa,,Negative,
Kok gak bisa dibuka kenapa ya padahal sudah di update sekarang malah gak bisa dibuka padahal mau transaksi.,,,Negative
"Terburukk,, login nya lama ehh tau2 notifikasi terjadi masalah",,Negative,
Apk baru tapi gak bisa di buka sering ngebaq juga aneh ? Gimna saya mau transaksi,,,Negative
"Makin sering eror dan perbaikan, di saat kepepet butuh buat transaksi malah gabisa kebuka aplikasinya, tolong di benerin lagi",,,Negative
"Masih bagus yg lama, yg in suka eror, login lama, mohon dengan sangat segera perbaiki aplikasi ya biar semua jdi mudah",,Negative,
Perbaiki lagi dong ini mau ambil uang kepepet malah gagal terus Uda beberapa kali coba skrng malah di suruh coba lagi gimna ya,,,Negative
"harusnya kalau sudah mau di alihkan ke wonder Aplkasi sudah siap... ini masih banyak kesulitan, yang biasanya lancar BNI lama. disini masih banyak gangguan jadi sulit buat transaksi.",,,Negative
"Aplikasi login sangat lemot . Setelah aku download ternyata untuk transaksi pembayaran PGN dan PDAM tidak ada dan tidak bisa. Mohon untuk bisa bekerja sama dengan fihak fihak lain untuk memudahkan bertransaksi dan pembayaran berlangganan. Wondr.apk merusak system kerja BNI mobile , BNI mobile kalau dipakai transaksi sekarang tidak bisa, aplikasi keluar sendiri.",,Negative,Negative
"Aplikasi ga lengkap, mobil tunai ga ada jadi makin ribet",,,Negative
Mau login aplikasi kok ulang dari awal,,Negative,
Aplikasi cacat. Sinyal stabil masih aja gak bisa login.,,Negative,
Gimana cara tarik tunai tanpa kartu?,,,Positive
Ribet. Lebih simple menggunakan BNImobile saja utk transaksi apapun. Wondr gangguan terus,Negative,,Negative
Lebih lancar pakai Aplikasi mbanking BNI. Disuruh transaksi di sini tp kurang user friendly. Mungkin perlu dipertimbangkan lagi untuk bs transaksi di mbanking BNI kembali. Terimakasih semoga bermanfaat,,,Negative
"Parah aplikasinya nggak bisa login gara"" verifikasi wajah nggak bisa"" alhasil keblokir apaan si gajelas",,Negative,
"Bagus, simple, Praktis",Positive,,
udah verivikasi di gunain sekali doag mau buka lagi masa fervikasi lagi trus gagal lagi ini gimana si,,Negative,
"dari bni mobile banking pindah kewondr, sayangnya aplikasi sangat lama saat dibuka, seeing gangguan. trkadang kita buru2 ingin bertransaksi krn sedang urgent, tp hrs menerima knyataan aplikasi sukit dibuka. tolong untuk diperbaiki. krn bni salah satu bank yg saya pilih untuk mendukung pekerjaan saya. terimaksih",,,Negative
"Tampilannya keren, aplikasinya ringan",Positive,,
"Cona bisa setor dan tarik tunai tnpa kartu, pasti lebih memudahkan. Klo udh ada fitur tsb, tak tmbah bintang nya",,,Positive
Batasan TF terlalu sedikit.!! tidak seperti BNI Mobile bisa langsung banyak dalam 1x TF.,,,Negative
"Kalo sudah bisa tarik setor tunai tanpa kartu dan tanpa pulsa, langsung saya kasih bintang 5, sama tolong untuk riwayat transaksi nya seperti bni mobile dulu saja biar lebih rinci",,,Positive
"Sering erorr, tarik tunai gaada aplikasi fitur bnyk errorrnya",,,Negative
Bintang 4 dulu. Ntar kalo udah bisa mobile tarik tunai baru bintang 5,,,Positive
Kenapa setiap keluar aplikasi selalu disuruh input nomor telepon terus dan upload foto ktp terus seperti bikin akun awal baru,,Negative,
"APLIKASINYA NGGAK JELASS, SAYA MAU LOGIN NGGK BISA TERUS KETERANGANNYA TERKENDALA SISTEM TRS. BISA BIKIN APLIKASI NGGAK SI UDH SEMINGGU LOH MASA TERKENDALA TRS DI HP SAYA.",,Negative,
"Pembayaran Qris gagal,tpi saldo nya ke potong,di email saldo nya SDH di kembaliin ke akun saya,smpai sekarang belum da pengembalian,gmn nih",,Negative,Negative
"Keren, simple bikin transaksi lebih mudah..love it❤️",Positive,,Positive
"Belum ada setor tunainya. Payah bgt 🥲🥲 Gara2 ada aplikasi ini, setor tunai di bni mobile yg satunya lagi malah ga bisa. 😭",,,Negative
"App nya ribet banget,mau masuk verifikasi email gak bisa padahal email aktif jaringannya juga bagus,,semua udah dicoba tapi tidak berhasil alhasil sampai sekarang aplikasinya tidak bisa dipakai Lama lama bisa berubah ke bank sebelah saja nih kalo di BNI terlalu ribet.",,Negative,
"Wondr lebih ribet, kemarin sudah bikin akun dg proses panjang bgt. Hari ini mau transaksi eh malah disuruh bikin akun lagi mulai dari awal lagi. Ribet bgt. Mau langsung masuk akun yang dibuat kemarin malah ngga bisa, disuruh bikin akun baru lagi. Ini gimana sih? Padahal lagi urgent. Bintang 1 ajalah. Enak BNI Mobile yg dulu ngga ribet.",,Negative,Negative
"Sementara 1 dulu, masih bnyak kurang2nya, termasuk kurang simple pemakaiannya juga min",Negative,,
"Apk babi,tololl verifikasi wajah doang susah nya minta ampun.padahal mukanya udah jelas bnget di layar mana harus nunggu besok lagi buat verifikasi.aplikasi idiott",,Negative,
TOLONG MUTASI REK ITU YG UPDATE !!! SEPELE TAPI BAHAYA !! SAYA INI TF ORG. DI MUTASI G ADA. ORGNYA G MERASA ADA DANA MASUK !!!! MASAK YG TAMPIL MUTASI SEBELUMNYA. JADI WAS WAS PAKAI INI. HARUS SEDIA SCREEN SHOT. KALO ADA BINTANG MINUS 5 SAYA KASIH INI -5 !!!!!,,,Negative
"Tolong adain fitur hide saldo dari semuanya, kaya qris tiba tiba muncul saldo, tolong adain fitur buat hide saldo dimanapun itu berada",,,Positive
"Aslinya ini simple ,cuma sayang di menu info transaksi TDK terlihat sisa jumlh saldo akumulasi seperti di BNI mobile banking, di wondr cma ada +rp sekian truss - Rp sklian klo BNI mobile jelas sekali detail semoga wondr bsa update seperti itu ka",Positive,,Negative
"sejauh ini lebih baik BNI Mobile sih.Wonder ribet fitur galengkap, gabjsa tarik tunai tanpa kartu",,,Negative
Kenapa saat transfer bukti transaksi nama sumber dana pemilik rekening disensor min padahal di aplikasi bni mobile nama pengirim ditampilkan.,,,Positive
Ini sering kali nggak bisa dibuka selalu muncul maaf ada sedikit kendala tim kami coba perbaiki sering muncul gitu trus harus diinstal balik lagi baru bisa connect ke wondr jadi tiap Minggu daftar ulang trus tolong ini apk agar bisa lebih baik kedepannya. padahal apk udah bgus karena ini lebih simpel dri mobile bangking,Positive,Negative,
"Terlalu sering error, khususnya masuk kehalaman login aja gak bisa, balik ke bni mobile tapi dibatasi, bni bank besar ayolah aplikasinya diperbaiki",,Negative,
Mobile Tunai/penarikan tunai koq tidak ada ya ????,,,Negative
Untuk transfer e wallet nmrx gk usah di tutup mase,,,Negative
"Bagus BNI yang lama, data transaksi sudah seperti rekening koran ada total saldo per transaksi & ada mutasi rek koran nya jg. Wondr malah kurang detail, ga ada mutasi rekening koran nya, ini malah rentan manipulasi.",,,Negative
Aplikasi Sampah menu Mobile tunai tidak ada dalam aplikasi,,,Negative
"Ribet, harus login berkali2",,Negative,
"Pakai wondr lebih simpel dan teredukasi ,,,memang semua menu blm muncul namanya juga transisi tp di awal tahun pasti lebih lengkap...makanya kata petugas untuk sementara bni mobile jgn dulu di hapus karena masih ada sebagian menu yg blm masuk ke wondr...tingkatkan trus 👍👍👍",Positive,,
Sebenernya bagus jadi lebih simpel dan mudah di pahami tapi kenapaa ketika baru masuk lama banget prosesnya jadi stuck di awal teruss,Negative,,
Sementara ini oke... Pengiriman uang cepatt dan lebih mudah dibandingkan BNI mobile,,,Positive
"Aplikasi Perbankan yang Keren. Mudah liat rekapan transaksi. Cocok untuk semua Kalangan Tua , Muda, bahkan anak anak.",Positive,,Positive
Aplikasi jelekkk baru transfer dkit dlam sehari tpi slalu ada tulisan limit ntah batas brp cuman bisa tf dlam sehari anehh,,,Negative
Riwayat transaksi gk ada masih bagus yg kemarin!! Kalau belum siap aplikasinya jangan diterapkan!! Terkesan memaksa sekali !!!!,,,Negative
"aplikasinya sudah bagus, bintang 3 dulu nunggu tp fitur tarik tunai muncul di aplikasi wonder sperti di bni mobile banking",,,Positive
Lebih gampang jika tidak ada verifikasi wajah,,Negative,
Anehh bangett kadang tiba2 ga bisa transaksi,,,Negative
Ribet daftarnya...udah tau nasabahnya bni..masih d persulit daftarnya...labih enak BCA... semua di permudah,,Negative,
bni mobile error yang ini sama juga tidak bisa transaksi,,,Negative
"Sekedar info untuk yang setiap login sesi berakhir terus itu, waktu login jangan di centang semua ya, cukup 1 aja yang di centang ( yang atas ) InshaAllah berhasil tanpa sesi berakhir terus. Terima kasih🙏🏻",,Positive,
Udh login tapi di suruh adftr ulang terus menerus,,Negative,
Ngk jelas aplikasi nya lebih baik aplikasi pertama.. internet kencang wifi kencang kok ngk bisa berjalan aplikasi nya mau login susah,,Negative,
Saya pernah ada pengeluaran tiba tiba dan tidak jelas dari aplikasi ini entah wajar atau tidak tapi tanggal 16 November tiba tiba pengeluaran 12k dari wonder setelah bayar qris jumpstart dan itu di Jakarta Pusat sedangkan saya di Sidoarjo apakah bisa di bantu jelaskan kenapa??,,,Negative
Sebagian Riwayat transaksi gak muncul,,,Negative
"TERLALU BANYAK PRODUK² BNI YG TIDAK BERMUTU SALAH SATUNYA APLIKASI INI,SUDAH JELAS² BAYAR TOKEN LEBIH ENAK LANGSUNG DI MOBIL BANKING KENAPA LARI KESINI?CUMA BIKIN BINGUNG NASABAH,BUKANYA MEMPERMUDAH MALAH MEMPERSULIT NAMANYA INI.. LOL",,,Negative
Aplikasi merepotkan. Verifikasi wajahnya kyk DPO sj. Mana g bisa2 lagi. Masa suruh toleh sana sini. Mana bisa kita lihat dan baca perintah kameranya. Ribettttt ....betttt ...bettt,,Negative,
Susah amat si daftarnya verifikasi wajah udah berulang ualng GGl trus gmna ni ribet,,Negative,
Kenapa ya saya transfer di aplikasinya udah berhasil tapi kok belum juga masuk ke penerima nggak kayak aplikasi BNI mobile yang dulu jadinya rugi saldo sudah kepotong tapi belum juga masuk ke penerima,,,Negative
"Aplikasi tidak berguna,, tiap hari daftar lgsg otomatis masuk dgn sendirix dgn rekening berbeda,, setelah di non aktifkan sama csx,, lalu dsuruh lg daftar eeh kembali login otomatis,,",,Positive,Negative
"Sangat berguna sekali dapat pantau keluar masuk uang tanpa ribet keluar rumah lagi, di mana aja kaan aja bisa.👍🙏 Terimakasih kasih wondr by BNI",,,Positive
Saya sudah donlod kan yah. Trus input data yg di minta. Keren lah aku liat nih aplikasi krn sy percaya betul sama BNI krn kan punya BNI yah. Nah sy coba lah masukin uang di rekening yg baru saja sy buat melalui akun DANA. Transaksi berhasil pas di cek di Aplikasi Wonder uang itu sama sekali gak masuk di Aplikasi wonder padahal statusnya di DANA sdh terkirim. Nah ini bgmn? Tolong bantuannya dong. Untung gak banyak banyak tuh aku masukin 50rb an aja krn mau coba coba dulu. Dan ternyata sonk...,Positive,Positive,Negative
"Sering sekali gangguan, apalagi hari libur, tiap login ada notifikasi sedang perbaikan",,Negative,
Nama pengirim td lengkap tambah lagi perhitungan saldo awal sma akhir GK ad,,,Negative
"Udah slesai daftar malah tidak bisa log in ""sesi telah berakhir""",,Negative,
Minimal tf 20.000 terlalu tinggi dan tidak bisa tf dibawah 50.000,,,Negative
Detail transaksi nya kurang lengkap Tidak seperti BNI MOBILE,,,Negative
"Mau nanya emang aplikasi nya gak muncul notif di layar HP ketika ad transfer masuk ataupun keluar? Soalnya tiap ada transfer masuk atau keluar gak ad notif di layar hp,harus masuk dlu ke aplikasi baru bisa tauh ad transfer masuk",,,Negative
APLIKASI BLM LAYAK PAKAI UDAH DI EDARKAN. HUH NYUSAIN AJA TIAP MAU TRANSAKSI GAGAL. MAINTENENS. DAN BLA BLA BLA.,,,Negative
Jelek banyak transaksi yang gak ada dlu di aplikasi BNI awal ad tarik tanpa kartu di wonder malah gak ada aneh,,,Negative
Semenjak apk ini rilis transfer aneh,,,Negative
"Mau transaksi ga bisa padahal pin sdh betul . nanti sdh ganti pin password lagi yang ga bisa loging padahal password sudah betul .. nanti sudah ganti password pin transaksi lagi yang ga bisa berulang ulang begitu. Ke bank CS juga ga bisa apa2 ga ada solusi. Aplikasi ga bagus ..m banking lama sangat memuaskan..beda sama aplikasi bank sebelah . makanya jarang sdh pakai BNI.. aplikasi sebelah sangat bagus, engga lama banyak orang pindah ke bank sebelah",,,Negative
"Ngisi token listrik 2x gagal udah kepotong tqpi gak berhasil, lucu nya lagi saldo dipotong mana admin dipotong saldo kepotong juga",,,Negative
"Transaksi gagal tapi saldo tetap terdebit, uang saya sampai skr tidak kembali, lebih baik aplikasi ini dihapus karena tidak membantu",,,Negative
"sering banget transaksi gagal tapi saldo engga kembali, udah hubungi cs tapi jawab nya bot, mending apk dulu",,,Negative
Mau cetak rek koran di apk baru ndak ada .,,,Negative
Aplikasi ga guna !! Astaghfirullah.. Disuruh move pake Wondr BNI karena ngomel mulu BNI mobile gabisa dipake.. Ehhhhh aplikasi ini lebih bapuk !! Belom juga eksplor aplikasinya.. Baru login ditulis sesi anda sudah berakhir.. Gtu mulu padahal baru instal.. Kalau bukan karena rekening gaji males banget makenya..,,Negative,Negative
"RIBET..ketika sdh login gak otomatis langsung migrasi dari rekening lama, malah di arahkan buka tabungan baru..jadinya di aplikasi ini malah no.rek baru..bukan yg lama..bingung juga cara merubahnya...udah gitu dari penampilan & Covernya juga kurang menarik terutama dari pilihan warnanya..masih bagus yg aplikasi lama",Negative,Negative,Negative
Ribet aplikasi tolol Kalau mau bikin app resmi buat 1 apk aja sprti bank2 lain biar ga ribet mau pake yg mana Niu dicoba login malah kenakk limit 5x kode pdahal butuh banget buat beli token listrik mn lampu udah padam Kode kaga dikirim kirim .pas udah dikirim trus dimasukin malah kode salah kan anjeng!,,Negative,
"History untuk setiap pembayaran kok ga ke update ya, pdhl di aplikasi BNI mobile update. Sistemnya gimana nih, saldo ngurang tapi history nya ga ada",,,Negative
Tidak jelas untuk melihat riwayat transaksi keluar & masuk,,,Negative
Bukti transaksi tidak ada,,,Negative
"Tertulis limit harian ewallet 2jt, baru buat transfer 1jt terus mau transfer lagi tertulis sudah melebihi limit harian, padahal awal rilis dulu bisa transfer berapapun lo",,,Negative
sangat memakan uang saya makasih monyet,,,Negative
Memaksa orang pindah app !!!!! Biasa bayar listrik pakai BNI MOBile ini pakai down load app baru .....,,,Negative
Untuk pengembang yg terhormat. Kalau boleh saya bandingkan masih lebih enak BNI mobile. Di wonder laporan mutasinya siring tidak tampil saya terima dana dari luar sering tidak ada mutasinya. Padahal uang sudah masuk. Beruntung ini dana masuk. Kalau yg tidak muncul mutasinya dana yg keluar apa tidak bahaya. Selain itu mutasinya kurang detail,,,Negative
Mohon tambahkan fitur tarik tunai,,,Positive
Min tolong aktifkan Mobile tunai la. Masak harus pake 2 aplikasi bni. Mana yg lama kalo mau tarik tunai di atm potong pulsa lagi.,,,Negative
Menu pembayaran Pendidikan cuma Universitas Indonesia aja nih🙂 ga ada opsi lain,,,Negative
"Saya suka keamanan login yang lebih extra, Fitur sangat simple untuk transaksi pembayaran dan transfer Sama seperti livin mandiri",Positive,Positive,Positive
Uang saya yg dikembalikan dari grab gak masuk2 udah lebih dari 10hari pihak BNI ga gercep,,,Negative
"Barusan aja daftar di bank nya langsung tapi smpe rumah malah error, kmrin daftar tulisannya gagal tapi KTP saya terdaftar aneh bngt apk nya",,Negative,
Bagaimana cara transfer DPLK/simponi melalui wondr?,,,Positive
Mutasi rekening ga ada keterangan jam transfer nya. Mending aplikasi yg lama lebih detail mutasinya,,,Negative
"Jelek banget, saya jadi sulit bertransaksi setiap mau transaksi harus foto KTP dll, udah gitu error masukin no hp keterangan nya terlalu sering intinya banyak bug, kalau belum siap ngeliluarin aplikasi dinyahan dulu jangan asal launching",,,Negative
"2 menu yg Mobile BNI ada, tetapi di Wondr BNI malah tdk ada. 1. Menu saldo pinjaman. 2. Menu tarik tunai tanpa kartu. Maaf, mungkin sy yg kurang teliti. Jika pihak BNI bisa kasih tau, sy akan berterimakasih. Seharusnya semakin baru semakin baik.",,,Negative
"Aplikasi yg belum siap sudah diluncurkan, mempersulit proses transaksi. Log in saja tidak bisa.",,Negative,Negative
"Agak ribet yg ini,orng tf saya g tebaca di apk wondr bni yg baru yg mobile banking yg lama tebaca klo ad yg tf saya.gmna y kok gitu ? Kadang lelet jg pemberitahuannya klo ad yg tf kita dulu di apk lama masuk nya",,,Negative
Tidak bisa verivikasi email tolol,,Negative,
Menu kurang lengkap tidak ada menu cardless. Padahal maunya yg ga ribet. Bisa tarik tunai tanpa harus bawa2 kartu atm dan lewat hp. Bukan lewat atm ngasih kode ke nomer kita (agak susah bagi orang spt sy yg jarang punya pulsa.) Kalau mau tarik tunai tanpa kartu harus isi pulsa dlu. Buat update terbaru dong kaya bank2 yg lain. Jangan stuck disitu aja.,,Negative,Negative
Aplikasi payah...saat buat akun dan buat password SDH done TPI saat verifikasi buat pin...malah password yang sudah dibuat tidak dikenal...tiap hari coba tetap tidak bisah.. .. Payah,,Negative,
"Baru download uda login, tapi setelah keluar aplikasi malah ga bisa login. Tombol login ga bisa dipencet, malah mengarahkan langsung ke fitur daftar ulang Aneehh!!!",,Negative,
aplikasi anehh ajg masa mau login susah bangt,,Negative,
Wonder ga bisa tari tunai non kartu kah?,,,Negative
"Ini aplikasi internet banking terburuk yang pernah saya gunakan, dikit2 harus verifikasi data mulai dari KTP sampe wajah dah harus dilakukan berulang2 karena aplikasi nya bermasalah, kembalikan aja ke aplikasi mobile BNI yang lama lebih user friendly dan tidak ribet kayak sekarang.",,Negative,
Riwayat transaksi tidak akurat Di bni mobile transfer sudah masuk Sedangkan di wondr belum masuk,,,Negative
