content,content_stemmed,content_list,aspect_tokens,Tampilan,Authentikasi,Transaksi,aspects
"Gangguan trus, enak pakek bni lama lebih simpel, klu blm siap app ny mending gak usah ganti² deh!!","[gangguan, enak, pakai, lama, lebih, simpel, belum, lebih, baik, tidak, ganti]","['gangguan', 'enak', 'pakai', 'lama', 'lebih', 'simpel', 'belum', 'lebih', 'baik', 'tidak', 'ganti']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': []}",Positive,NA,NA,Tampilan
kecewa......dari pagi tadi nggak bisa login. padahal jaringan udah ok. udah gitu kalau ada saldo masuk nggak ada laporannya. jadi susah bet. mending BNI yg lama sih,"[kecewa, pagi, tidak, login, jaring, oke, saldo, masuk, tidak, lapor, susah, banget, lebih, baik, lama, sih]","['kecewa', 'pagi', 'tidak', 'login', 'jaring', 'oke', 'saldo', 'masuk', 'tidak', 'lapor', 'susah', 'banget', 'lebih', 'baik', 'lama', 'sih']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': ['saldo']}",NA,Negative,Positive,"Authentikasi, Transaksi"
Aflikasi wondr by bni knpa gak bisa login,"[aflikasi, tidak, login]","['aflikasi', 'tidak', 'login']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Positive,NA,Authentikasi
"Apakah wonder sedang ada gangguan,tidak bisa login dan melakukan transaksi,,mohon di percepatan perbaikan nya.","[gangguan, tidak, login, transaksi, mohon, cepat, perbaikan]","['gangguan', 'tidak', 'login', 'transaksi', 'mohon', 'cepat', 'perbaikan']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': ['transaksi']}",NA,Positive,Positive,"Authentikasi, Transaksi"
"Tgl 25 nop 2024 sore aplikasi nya tidak bisa dipakai, apakah lagi ada perbaikan atau gimana? Saya mau belanja dan bayar pakai qris di kasir jadi ngga bisa","[tang, nop, sore, tidak, pakai, perbaikan, belanja, bayar, pakai, qris, kasir, tidak]","['tang', 'nop', 'sore', 'tidak', 'pakai', 'perbaikan', 'belanja', 'bayar', 'pakai', 'qris', 'kasir', 'tidak']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['bayar']}",NA,NA,Negative,Transaksi
Apk nya ga bisa di buka padahal mau TF eror terus,"[tidak, buka, transfer, error]","['tidak', 'buka', 'transfer', 'error']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transfer']}",NA,NA,Negative,Transaksi
"Aplikasinya tdk bisa dibuka, notice (! FITUR LAGI TIDAK TERSEDIA) Padahal buat bayar listrik,😡😡😡 Di mobile banking diarahkan ke wondr, tp ga bisa dibuka pekok","[tidak, buka, notice, fitur, tidak, sedia, bayar, listrik, arah, tidak, buka, kok]","['tidak', 'buka', 'notice', 'fitur', 'tidak', 'sedia', 'bayar', 'listrik', 'arah', 'tidak', 'buka', 'kok']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['bayar']}",NA,NA,Negative,Transaksi
"Mendingan pakai Mobile BNI (yang lama), setiap transaksi (keluar masuk) saldo ditampilkan sperti rek koran. Klu ini tidak ada dan sering trouble. Perbaiki dlu sperti dlu, nanti saya kasih bintang 5, smntra 1 dlu.","[mending, pakai, lama, transaksi, masuk, saldo, tampil, rekening, koran, tidak, sering, trouble, baik, kasih, bintang, smntra]","['mending', 'pakai', 'lama', 'transaksi', 'masuk', 'saldo', 'tampil', 'rekening', 'koran', 'tidak', 'sering', 'trouble', 'baik', 'kasih', 'bintang', 'smntra']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi', 'saldo', 'rekening']}",NA,NA,Positive,Transaksi
Dari tadi login ga bisa bisa masuk,"[login, tidak, masuk]","['login', 'tidak', 'masuk']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Positive,NA,Authentikasi
Gimana sih kk aku mau tf aja susahhhh,"[sih, kakak, transfer, susahhhh]","['sih', 'kakak', 'transfer', 'susahhhh']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transfer']}",NA,NA,Negative,Transaksi
apa yg terjadi dg wondr bni hari i 1 hari full tak bisa login status perbaikan trus,"[i, full, login, status, perbaikan]","['i', 'full', 'login', 'status', 'perbaikan']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Positive,NA,Authentikasi
Mau login lelet sekali,"[login, lelet]","['login', 'lelet']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"Dari pagi sampai sekarang perbaikan terus, gimana ini BNI orang mau ngirim duit jadi susah banget","[pagi, perbaikan, orang, kirim, uang, susah, banget]","['pagi', 'perbaikan', 'orang', 'kirim', 'uang', 'susah', 'banget']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['uang']}",NA,NA,Negative,Transaksi
"Aplikasinya knp tidak bisa di pakai ,sedangkan saya mau TF tapi udah nunggu sehari ini aplikasi tidak bisa dipakai","[tidak, pakai, transfer, tunggu, hari, tidak, pakai]","['tidak', 'pakai', 'transfer', 'tunggu', 'hari', 'tidak', 'pakai']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transfer']}",NA,NA,Negative,Transaksi
"Bintang 3 karena sering gangguan lagi butuh buat transaksi malah sistem sedang diperbaiki terus, ngga cuma sekali hampir 20 kali lebih bermasalah mending BNI mobile ngga pernah ada trouble","[bintang, sering, gangguan, butuh, transaksi, sistem, diperbaiki, tidak, kali, lebih, masalah, lebih, baik, tidak, trouble]","['bintang', 'sering', 'gangguan', 'butuh', 'transaksi', 'sistem', 'diperbaiki', 'tidak', 'kali', 'lebih', 'masalah', 'lebih', 'baik', 'tidak', 'trouble']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
Aplikasi terlalu sering tidakbisa di gunakan transaksi,"[sering, tidakbisa, transaksi]","['sering', 'tidakbisa', 'transaksi']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"Aplikasi aneh, susah login, pakai data ataupun wifi tetap susah login. Setelah login, ada notif ""Terjadi Masalah"". Kalau belum siap bikin aplikasi, mending jangan dibikin, buang2 paket dan waktu aja. Ini yang bikin nama Besar BNI jadi tercemar. Auto Uninstall","[aneh, susah, login, pakai, data, wifi, susah, login, login, notif, belum, lebih, baik, bikin, buang, paket, nama, cemar, auto, uninstall]","['aneh', 'susah', 'login', 'pakai', 'data', 'wifi', 'susah', 'login', 'login', 'notif', 'belum', 'lebih', 'baik', 'bikin', 'buang', 'paket', 'nama', 'cemar', 'auto', 'uninstall']","{'Tampilan': [], 'Authentikasi': ['login', 'login', 'login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Wondr mau gangguan sampai kapan sihh??? Orang gajian mau buka mbanking nya malah ga bisa. Login BNI mobile juga ga bisa,"[gangguan, sih, orang, gaji, buka, m, tidak, login, tidak]","['gangguan', 'sih', 'orang', 'gaji', 'buka', 'm', 'tidak', 'login', 'tidak']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"Aplikasi jelek, gangguan tiap saat, ga bisa transaksi. Sumpah buruk bgt","[jelek, gangguan, tidak, transaksi, sumpah, buruk, banget]","['jelek', 'gangguan', 'tidak', 'transaksi', 'sumpah', 'buruk', 'banget']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"Gabisa masuk aplikasi, uang transfer juga ga masuk ke rekening","[tidak, masuk, uang, transfer, tidak, masuk, rekening]","['tidak', 'masuk', 'uang', 'transfer', 'tidak', 'masuk', 'rekening']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['uang', 'transfer', 'rekening']}",NA,NA,Positive,Transaksi
"Maintenance di jam kerja adalah suatu kerugian bagi saya jadi tidak bisa melakukan transaksi hari ini, banyak pelanggan jadi kabur. Kemarin dari BNI mobile banking suruh pindah ke wondr by BNI, giliran udah pindah di suruh transaksi pake BNI mobile banking. BNI mobile banking better than wondr by BNI.","[maintenance, jam, kerja, rugi, tidak, transaksi, langgan, kabur, kemarin, suruh, pindah, gilir, pindah, suruh, transaksi, pakai, better, tahan]","['maintenance', 'jam', 'kerja', 'rugi', 'tidak', 'transaksi', 'langgan', 'kabur', 'kemarin', 'suruh', 'pindah', 'gilir', 'pindah', 'suruh', 'transaksi', 'pakai', 'better', 'tahan']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi', 'transaksi']}",NA,NA,Negative,Transaksi
Parah kacau mau login per hari ini eror melulu,"[parah, kacau, login, error, melulu]","['parah', 'kacau', 'login', 'error', 'melulu']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
gangguan kenapa ya? Seharian saya lupa bawa dompet wondr juga gangguan dan tidak bisa melakukan pembayaran.,"[gangguan, hari, lupa, bawa, dompet, gangguan, tidak, bayar]","['gangguan', 'hari', 'lupa', 'bawa', 'dompet', 'gangguan', 'tidak', 'bayar']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['bayar']}",NA,NA,Negative,Transaksi
kacau uang lagi di perluin malah kaya gini gangguan lama banget,"[kacau, uang, perluin, kayak, gangguan, lama, banget]","['kacau', 'uang', 'perluin', 'kayak', 'gangguan', 'lama', 'banget']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['uang']}",NA,NA,Negative,Transaksi
Skli update lama betul berjam2 gbisa dibuka. Mau transaksi jadi terhambat,"[update, lama, jam, gbisa, buka, transaksi, hambat]","['update', 'lama', 'jam', 'gbisa', 'buka', 'transaksi', 'hambat']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"Buat login aja gk bisa, masih error","[login, tidak, masih, error]","['login', 'tidak', 'masih', 'error']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Positive,NA,Authentikasi
Pakai Wondr by BNI Memang Simple Tapi Sayang Sering Gangguan Dan Gak Bisa Masuk Sama Sekali,"[pakai, simpel, sayang, sering, gangguan, tidak, masuk]","['pakai', 'simpel', 'sayang', 'sering', 'gangguan', 'tidak', 'masuk']","{'Tampilan': ['simpel'], 'Authentikasi': [], 'Transaksi': []}",Negative,NA,NA,Tampilan
"App bejat,mau bayar gk bisa² masak eror sampek 4 jam 🤯😡🤬 Kalau bni gini aku cut deh gk jadi nasabah BNI","[bejat, bayar, tidak, masak, error, jam, cut, tidak, nasabah]","['bejat', 'bayar', 'tidak', 'masak', 'error', 'jam', 'cut', 'tidak', 'nasabah']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['bayar']}",NA,NA,Negative,Transaksi
Ya ampun... Sangat buruk... Kelas nya Bank koq kaya gini... Mau transaksi jadi lambat... Bikin emosi saja... Kalau memang aplikasinya belum siap digunakan gak usah dipaksakan. Sangat kecewa... Mending pakai bank lain saja lah...,"[ampun, sangat, buruk, kelas, bank, kayak, transaksi, lambat, emosi, belum, tidak, paksa, sangat, kecewa, lebih, baik, pakai, bank]","['ampun', 'sangat', 'buruk', 'kelas', 'bank', 'kayak', 'transaksi', 'lambat', 'emosi', 'belum', 'tidak', 'paksa', 'sangat', 'kecewa', 'lebih', 'baik', 'pakai', 'bank']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
ini wondr error melulu. Hari ini. Pas lagi butuh butuh nya mau di pakai transaksi. Errar error melulu. Bagaimana ini aplikasi ? Sudah siap diapakai apa belum sich. Sebenarnya ini aplikasi .,"[error, melulu, pas, butuh, butuh, pakai, transaksi, errar, error, melulu, diapakai, belum, sih]","['error', 'melulu', 'pas', 'butuh', 'butuh', 'pakai', 'transaksi', 'errar', 'error', 'melulu', 'diapakai', 'belum', 'sih']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"Bagusan e banking BNI Lama. Transaksi lebih cepat , Batas kirim ewalet lebih besar, Gangguan cepat di atasi. Kalau yg baru kebalikan semua.","[bagus, e, lama, transaksi, lebih, cepat, batas, kirim, ewalet, lebih, gangguan, cepat, atas, balik]","['bagus', 'e', 'lama', 'transaksi', 'lebih', 'cepat', 'batas', 'kirim', 'ewalet', 'lebih', 'gangguan', 'cepat', 'atas', 'balik']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"ini apk jelek bgt sumpahh, sering eror jadi mau transaksi susah. bagusan bni yang lama!!!!","[jelek, banget, sumpah, sering, error, transaksi, susah, bagus, lama]","['jelek', 'banget', 'sumpah', 'sering', 'error', 'transaksi', 'susah', 'bagus', 'lama']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
Mantap mudah untuk bertransaksi ....,"[mantap, mudah, transaksi]","['mantap', 'mudah', 'transaksi']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
"Ni apk ribet bngt dah,gw login dri tdi pagi smpai skrng kagak mau ,ada perbaikan apa sih sampai2 seharian msih ttp ga mau","[rumit, banget, gue, login, pagi, tidak, perbaikan, sih, hari, masih, tidak]","['rumit', 'banget', 'gue', 'login', 'pagi', 'tidak', 'perbaikan', 'sih', 'hari', 'masih', 'tidak']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Ini aplikasi apa perbaikan terus Kapan bisa transaksinya kalok perbaikan teris,"[perbaikan, transaksi, perbaikan, ter]","['perbaikan', 'transaksi', 'perbaikan', 'ter']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
Buruk sekali !!! Aplikasi Gak bisa dibuka... Eror terus !!! Orang mau transaksi malah tersendat!! Terpaksa tarik dana hapus aplikasi!!!!,"[buruk, tidak, buka, error, orang, transaksi, sendat, paksa, tarik, dana, hapus]","['buruk', 'tidak', 'buka', 'error', 'orang', 'transaksi', 'sendat', 'paksa', 'tarik', 'dana', 'hapus']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi', 'tarik']}",NA,NA,Negative,Transaksi
"Sering eror,sampai sekarang ini pun masih error gk bs di buka🥲,jd susah kan saya mau buat blnja online dn untuk transaksi lain ya,tolong dong cpt di perbaiki lg","[sering, error, masih, error, tidak, buka, susah, belanja, online, transaksi, tolong, cepat, baik]","['sering', 'error', 'masih', 'error', 'tidak', 'buka', 'susah', 'belanja', 'online', 'transaksi', 'tolong', 'cepat', 'baik']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
Hari ini update... setelah di update malah ga bisa login!!! Mohon di perhatikan!!!,"[update, update, tidak, login, mohon, perhati]","['update', 'update', 'tidak', 'login', 'mohon', 'perhati']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"Ini kenapa seharian wndr gak bisa di buka... jadi ribet mau melakukan transaksi "" munculnya notif team kami akan memperbaiki, kalo cuman 1 atau 2 jam maintenence gkpp ini sampe seharian"" emng gak worth it.. mrnghambat","[hari, tidak, buka, rumit, transaksi, muncul, notif, team, baik, jam, maintenence, gkpp, hari, tidak, worth, mrnghambat]","['hari', 'tidak', 'buka', 'rumit', 'transaksi', 'muncul', 'notif', 'team', 'baik', 'jam', 'maintenence', 'gkpp', 'hari', 'tidak', 'worth', 'mrnghambat']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
SERING GANGGUAN MOHON DI PERBAIKI SISTEMNYA AGAR TIDAK MENGGANGGU TRANSAKSI,"[sering, gangguan, mohon, baik, sistem, tidak, ganggu, transaksi]","['sering', 'gangguan', 'mohon', 'baik', 'sistem', 'tidak', 'ganggu', 'transaksi']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
Pake wondr BNI sering bgt erorr jadi susah buat bayar ya klo sering erorr malah bikin susah konsumen aja,"[pakai, sering, banget, error, susah, bayar, sering, error, susah, konsumen]","['pakai', 'sering', 'banget', 'error', 'susah', 'bayar', 'sering', 'error', 'susah', 'konsumen']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['bayar']}",NA,NA,Negative,Transaksi
"Sering error, transaksi e wallet dibatasi hanya 1-2 juta, aplikasi sebelum nya bisa 10.000.000 Payah..... 👎👎👎👎👎","[sering, error, transaksi, e, wallet, batas, juta, payah]","['sering', 'error', 'transaksi', 'e', 'wallet', 'batas', 'juta', 'payah']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"Aplikasinya sering mainteanance,padahal lagi mau transaksi malah gk bisa,nyebelin banget ini BNI mbankingnya pelayanannya makin buruk","[sering, mainteanance, transaksi, tidak, sebal, banget, mbankingnya, layan, buruk]","['sering', 'mainteanance', 'transaksi', 'tidak', 'sebal', 'banget', 'mbankingnya', 'layan', 'buruk']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"mohon disegerakan maintenance nya, karena dibutuhkan setiap hari untuk bertransaksi","[mohon, segera, maintenance, butuh, transaksi]","['mohon', 'segera', 'maintenance', 'butuh', 'transaksi']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
"Ini mau sampai kapan wondr tidak bisa di gunakan,,mau transaksi juga jadi susah gini ,,ayolah lama bener bagus nya","[tidak, transaksi, susah, ayo, lama, bagus]","['tidak', 'transaksi', 'susah', 'ayo', 'lama', 'bagus']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"Dikit-dikit ada kendala, dikit-dikit perbaikan. RIBET Mau transaksi apa sering gagal gara-gara aplikasi ini sering ga bisa dibuka saat dibutuhkan huft","[dikit, dikit, kendala, dikit, dikit, perbaikan, rumit, transaksi, sering, gagal, gara, gara, sering, tidak, buka, butuh, huft]","['dikit', 'dikit', 'kendala', 'dikit', 'dikit', 'perbaikan', 'rumit', 'transaksi', 'sering', 'gagal', 'gara', 'gara', 'sering', 'tidak', 'buka', 'butuh', 'huft']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"Menyusahkan tidak bisa transaksi mending aplikasi yg lama, gangguan trs, klo blm layak gak usah di launching dulu","[susah, tidak, transaksi, lebih, baik, lama, gangguan, belum, layak, tidak, launching]","['susah', 'tidak', 'transaksi', 'lebih', 'baik', 'lama', 'gangguan', 'belum', 'layak', 'tidak', 'launching']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
Tolong atasi eror aplikasi hari ini karena saya mau transaksi tidak bisa masuk ke aplikasi,"[tolong, atas, error, transaksi, tidak, masuk]","['tolong', 'atas', 'error', 'transaksi', 'tidak', 'masuk']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
"ko kendala mlu, mau login gk bisa pdhal sudah update, keburu wktu pembayaran habis kn jadinya jd gk bisa sat set","[kendala, melulu, login, tidak, update, keburu, bayar, habis, tidak, sat, set]","['kendala', 'melulu', 'login', 'tidak', 'update', 'keburu', 'bayar', 'habis', 'tidak', 'sat', 'set']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': ['bayar']}",NA,Negative,Negative,"Authentikasi, Transaksi"
"Hari ini 25/11/24 error gabisa dibuka apk nya, dan gk bisa transaksi sama sekali, gajian juga tertunda gara"" eror, lain kali kalau mau ada maintenance beri tahu H-1 lewat WhatsApp/email agar customer bisa bersiap! Tidak dadakan sprti ini !","[error, tidak, buka, tidak, transaksi, gaji, tunda, gara, error, kali, maintenance, h, whatsappemail, customer, tidak, dada]","['error', 'tidak', 'buka', 'tidak', 'transaksi', 'gaji', 'tunda', 'gara', 'error', 'kali', 'maintenance', 'h', 'whatsappemail', 'customer', 'tidak', 'dada']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"Sudah di update tpi tambah error, tidak bisa login karna sedang perbaikan, setelah sudah bisa login malah perbaikan fitur lagi akhirnya tdak bisa masuk sama skli, semoga proses maintenance nya bisa lebih optimal lagi👍","[update, error, tidak, login, perbaikan, login, perbaikan, fitur, tidak, masuk, moga, proses, maintenance, lebih, optimal]","['update', 'error', 'tidak', 'login', 'perbaikan', 'login', 'perbaikan', 'fitur', 'tidak', 'masuk', 'moga', 'proses', 'maintenance', 'lebih', 'optimal']","{'Tampilan': [], 'Authentikasi': ['login', 'login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"Nggak bisa login, gangguan","[tidak, login, gangguan]","['tidak', 'login', 'gangguan']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"lama bgt perbaikan app nya, dikira ga perlu transaksi orang","[lama, banget, perbaikan, tidak, transaksi, orang]","['lama', 'banget', 'perbaikan', 'tidak', 'transaksi', 'orang']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"PARAH !!, Mau smpe kapan kek gini, udah fitur kurang, sering ngebug, hari ini gak bisa di akses sama sekali..asli gak bisa transaksi sama sekali bah....","[parah, kayak, fitur, kurang, sering, bug, tidak, akses, asli, tidak, transaksi, bah]","['parah', 'kayak', 'fitur', 'kurang', 'sering', 'bug', 'tidak', 'akses', 'asli', 'tidak', 'transaksi', 'bah']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"Ini kenapa ya aplikasi nya saya mau transfer tapi kok ggk bisa buka aplikasinya, tolong cepat di perbaiki ya","[transfer, ggk, buka, tolong, cepat, baik]","['transfer', 'ggk', 'buka', 'tolong', 'cepat', 'baik']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transfer']}",NA,NA,Negative,Transaksi
"Ini kenapa kalo di buka, fitur sedang di perbaiki karena ada kendala. Dan mau tanya, kalo kita hapus apk terus download ulang apakah uangnya masih tetap utuh","[buka, fitur, baik, kendala, hapus, download, ulang, uang, masih, utuh]","['buka', 'fitur', 'baik', 'kendala', 'hapus', 'download', 'ulang', 'uang', 'masih', 'utuh']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['uang']}",NA,NA,Negative,Transaksi
"gimana sih kok mau login ga bisa fitur ga tersedia mulu,ini mau liat saldo gimana caranya","[sih, login, tidak, fitur, tidak, sedia, melulu, lihat, saldo]","['sih', 'login', 'tidak', 'fitur', 'tidak', 'sedia', 'melulu', 'lihat', 'saldo']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': ['saldo']}",NA,Positive,Positive,"Authentikasi, Transaksi"
Kayanya blum optimal ini wondr keseringan perbaikan ssah buka klo lagi di tol mau transaksi cepet Trus lama lagi perbaikan nya Nanti klo udah optimal baru ksih bintang 5,"[kaya, belum, optimal, sering, perbaikan, ssah, buka, tol, transaksi, cepat, lama, perbaikan, optimal, kasih, bintang]","['kaya', 'belum', 'optimal', 'sering', 'perbaikan', 'ssah', 'buka', 'tol', 'transaksi', 'cepat', 'lama', 'perbaikan', 'optimal', 'kasih', 'bintang']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
Lebih baik BNI mobile di banding windr sulit untuk login padahal kemarin bisa.. Aneh aplikasi ini,"[lebih, baik, banding, windr, sulit, login, kemarin, aneh]","['lebih', 'baik', 'banding', 'windr', 'sulit', 'login', 'kemarin', 'aneh']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Banyak perbaikan jadi ga bisa transakasi cepat,"[perbaikan, tidak, transaksi, cepat]","['perbaikan', 'tidak', 'transaksi', 'cepat']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Negative,Transaksi
"Akun saya ko gak bisa dibuka yaa,selalu ada kata""maaf lagi ada kendala silahkan coba lagi nanti""udah beberapa kali coba dibuka masih aja seperti itu,,mohon bantuannya","[akun, tidak, buka, katamaaf, kendala, sila, coba, nantiudah, kali, coba, buka, masih, mohon, bantu]","['akun', 'tidak', 'buka', 'katamaaf', 'kendala', 'sila', 'coba', 'nantiudah', 'kali', 'coba', 'buka', 'masih', 'mohon', 'bantu']","{'Tampilan': [], 'Authentikasi': ['akun'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Sangat buruk susah sekali login lebih baik aplikasi sebelum nya simple mudah untuk login,"[sangat, buruk, susah, login, lebih, baik, simpel, mudah, login]","['sangat', 'buruk', 'susah', 'login', 'lebih', 'baik', 'simpel', 'mudah', 'login']","{'Tampilan': ['simpel'], 'Authentikasi': ['login', 'login'], 'Transaksi': []}",Positive,Positive,NA,"Tampilan, Authentikasi"
"Bagusan aplikasi yang lama. Pemakaian 5 tahun lancar jaya. Pakai ini belum juga sebulan erorr.. udh dari pagi sampai sekarang nggak bisa masuk,, mana ada transaksi mendesak yang harus di selesaikan.!! 👎🏻👎🏻👎🏻","[bagus, lama, pakai, lancar, jaya, pakai, belum, bulan, error, pagi, tidak, masuk, transaksi, desak, selesai]","['bagus', 'lama', 'pakai', 'lancar', 'jaya', 'pakai', 'belum', 'bulan', 'error', 'pagi', 'tidak', 'masuk', 'transaksi', 'desak', 'selesai']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi']}",NA,NA,Positive,Transaksi
"Udah seharian tapi masih gangguan, katanya lagi diperbaiki tapi ga selesai"" ,kita yg kpepet mau narik uang jadi ga bisa, kecewa si","[hari, masih, gangguan, diperbaiki, tidak, selesai, kpepet, menarik, uang, tidak, kecewa, sih]","['hari', 'masih', 'gangguan', 'diperbaiki', 'tidak', 'selesai', 'kpepet', 'menarik', 'uang', 'tidak', 'kecewa', 'sih']","{'Tampilan': ['menarik'], 'Authentikasi': [], 'Transaksi': ['uang']}",Positive,NA,Positive,"Tampilan, Transaksi"
Terpaksa untuk beralih ke Wonder tapi mau login saja error. Ga bisa beli token pke mobile banking,"[paksa, alih, login, error, tidak, beli, token, pakai]","['paksa', 'alih', 'login', 'error', 'tidak', 'beli', 'token', 'pakai']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
Errorrr dr siang ga bisa transaksi gabisa tarik tunai,"[errorrr, siang, tidak, transaksi, tidak, tarik, tunai]","['errorrr', 'siang', 'tidak', 'transaksi', 'tidak', 'tarik', 'tunai']","{'Tampilan': [], 'Authentikasi': [], 'Transaksi': ['transaksi', 'tarik', 'tunai']}",NA,NA,Negative,Transaksi
Tiba² gak bisa login seharian,"[tidak, login, hari]","['tidak', 'login', 'hari']","{'Tampilan': [], 'Authentikasi': ['login'], 'Transaksi': []}",NA,Negative,NA,Authentikasi
"Sering banget bermasalah, kadang gabisa login lah, loadingnya lama lah, stuck tampilan depan doang lah","[sering, banget, masalah, kadang, tidak, login, loadingnya, lama, stuck, tampilan, doang]","['sering', 'banget', 'masalah', 'kadang', 'tidak', 'login', 'loadingnya', 'lama', 'stuck', 'tampilan', 'doang']","{'Tampilan': ['tampilan'], 'Authentikasi': ['login'], 'Transaksi': []}",Negative,Negative,NA,"Tampilan, Authentikasi"
